Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.6038834951456311,0.4968051118210863,0.5451358457493426,0.43834459459459457,0.5616554054054055,0.6,mockito_2
H3,0.765661252900232,0.5271565495207667,0.6244087038789025,0.33530405405405406,0.6646959459459459,0.6,mockito_2
H3,0.7128547579298832,0.6821086261980831,0.6971428571428572,0.31334459459459457,0.6866554054054055,0.6,mockito_2
H3,0.849015317286652,0.6198083067092651,0.7165281625115419,0.2592905405405405,0.7407094594594594,0.6,mockito_2
H3,0.7545909849749582,0.7220447284345048,0.7379591836734695,0.27111486486486486,0.7288851351351351,0.6,mockito_2
H3,0.6881720430107527,0.7156549520766773,0.701644479248238,0.3217905405405405,0.6782094594594594,0.6,mockito_2
H3,0.7159590043923866,0.7811501597444089,0.747135217723453,0.2795608108108108,0.7204391891891893,0.6,mockito_2
H3,0.7338842975206612,0.7092651757188498,0.7213647441104794,0.28969594594594594,0.7103040540540541,0.6,mockito_2
H3,0.7103559870550162,0.7012779552715654,0.7057877813504823,0.3091216216216216,0.6908783783783784,0.6,mockito_2
H3,0.747163695299838,0.7364217252396166,0.7417538213998391,0.27111486486486486,0.7288851351351351,0.6,mockito_2
