Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.7895397489539749,0.6112730806608357,0.6890633558517436,0.1915204678362573,0.8084795321637427,0.4,jabRef_2
H3,0.793015332197615,0.6031746031746031,0.6851885924563018,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.790363482671175,0.6057661159701976,0.6858609939482853,0.1926450742240216,0.8073549257759784,0.4,jabRef_2
H3,0.793854033290653,0.6025267249757046,0.6850828729281768,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
H3,0.7911016949152543,0.6047942986718496,0.6855149623646043,0.1926450742240216,0.8073549257759784,0.4,jabRef_2
H3,0.7931034482758621,0.6034985422740525,0.685430463576159,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
H3,0.7937660119555935,0.6022027858762553,0.6848406704733836,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.7865903515944399,0.62325882734046,0.6954635821435027,0.1894961763382816,0.8105038236617184,0.4,jabRef_2
H3,0.794017094017094,0.6018788467768059,0.6847245255205453,0.19242015294646875,0.8075798470535313,0.4,jabRef_2
H3,0.7906289573659772,0.6067379332685455,0.6865835777126099,0.19230769230769232,0.8076923076923077,0.4,jabRef_2
