Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.6278026905829597,0.618921308576481,0.6233303650934995,0.18487762237762237,0.8151223776223776,0.8,powertoys
H3,0.6085240726124704,0.6816976127320955,0.6430358632193495,0.18706293706293706,0.8129370629370629,0.8,powertoys
H3,0.5948275862068966,0.7320954907161804,0.6563614744351961,0.18946678321678323,0.8105332167832168,0.8,powertoys
H3,0.5995558845299778,0.7161803713527851,0.6526994359387591,0.1883741258741259,0.8116258741258742,0.8,powertoys
H3,0.6268364348677767,0.5658709106984969,0.5947955390334573,0.19055944055944055,0.8094405594405595,0.8,powertoys
H3,0.6475675675675676,0.5296198054818745,0.5826848249027239,0.1875,0.8125,0.8,powertoys
H3,0.5974025974025974,0.7320954907161804,0.6579261025029798,0.1881555944055944,0.8118444055944056,0.8,powertoys
H3,0.5923295454545454,0.7374005305039788,0.6569515557306026,0.1903409090909091,0.8096590909090909,0.8,powertoys
H3,0.6695035460992907,0.41732979664014147,0.514161220043573,0.19493006993006992,0.8050699300699301,0.8,powertoys
H3,0.6054774241302738,0.7232537577365163,0.6591458501208702,0.18487762237762237,0.8151223776223776,0.8,powertoys
