Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.5927505330490405,0.7374005305039788,0.657210401891253,0.19012237762237763,0.8098776223776224,0.30000000000000004,powertoys
H3,0.5933048433048433,0.7365163572060124,0.6571992110453648,0.18990384615384615,0.8100961538461539,0.30000000000000004,powertoys
H3,0.6354166666666666,0.5932802829354553,0.6136259716506629,0.1846590909090909,0.8153409090909091,0.30000000000000004,powertoys
H3,0.6053853296193129,0.5764809902740937,0.5905797101449275,0.19755244755244755,0.8024475524475525,0.30000000000000004,powertoys
H3,0.5847145488029466,0.5614500442086648,0.5728461885430762,0.2069493006993007,0.7930506993006993,0.30000000000000004,powertoys
H3,0.6112012987012987,0.6657824933687002,0.6373254337706304,0.18728146853146854,0.8127185314685315,0.30000000000000004,powertoys
H3,0.6382405745062837,0.6286472148541115,0.6334075723830735,0.1798513986013986,0.8201486013986015,0.30000000000000004,powertoys
H3,0.5900621118012422,0.671971706454465,0.6283588259611409,0.1964597902097902,0.8035402097902098,0.30000000000000004,powertoys
H3,0.6175687666370896,0.6153846153846154,0.616474756421612,0.18924825174825174,0.8107517482517482,0.30000000000000004,powertoys
H3,0.6349056603773585,0.5950486295313882,0.6143313555454132,0.1846590909090909,0.8153409090909091,0.30000000000000004,powertoys
