Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.7732558139534884,0.5507246376811594,0.6432889963724304,0.3322072072072072,0.6677927927927928,0.7,mockito_2
H3,0.7908847184986595,0.6107660455486542,0.6892523364485981,0.29954954954954954,0.7004504504504505,0.7,mockito_2
H3,0.8379888268156425,0.6211180124223602,0.713436385255648,0.2713963963963964,0.7286036036036037,0.7,mockito_2
H3,0.6911447084233261,0.6625258799171843,0.6765327695560254,0.34459459459459457,0.6554054054054055,0.7,mockito_2
H3,0.6768759571209801,0.9151138716356108,0.7781690140845071,0.28378378378378377,0.7162162162162162,0.7,mockito_2
H3,0.730072463768116,0.8343685300207039,0.7787439613526569,0.25788288288288286,0.7421171171171171,0.7,mockito_2
H3,0.7188264058679706,0.6086956521739131,0.6591928251121076,0.34234234234234234,0.6576576576576576,0.7,mockito_2
H3,0.6750841750841751,0.8302277432712215,0.7446610956360261,0.3096846846846847,0.6903153153153153,0.7,mockito_2
H3,0.7051039697542533,0.772256728778468,0.7371541501976284,0.29954954954954954,0.7004504504504505,0.7,mockito_2
H3,0.7082601054481547,0.8343685300207039,0.7661596958174904,0.27702702702702703,0.722972972972973,0.7,mockito_2
