Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H1,0.7630878438331854,0.41030534351145037,0.5336642879304995,0.19973421926910298,0.800265780730897,0.7,all_2
H1,0.8067061143984221,0.3902671755725191,0.5260450160771704,0.19588039867109636,0.8041196013289036,0.7,all_2
H1,0.717948717948718,0.4675572519083969,0.5663103149378792,0.19946843853820598,0.800531561461794,0.7,all_2
H1,0.73671875,0.44990458015267176,0.558649289099526,0.19800664451827243,0.8019933554817276,0.7,all_2
H1,0.7571157495256167,0.38072519083969464,0.5066666666666666,0.20651162790697675,0.7934883720930233,0.7,all_2
H1,0.7002945508100147,0.45372137404580154,0.5506658946149392,0.20624584717607974,0.7937541528239203,0.7,all_2
H1,0.7660944206008584,0.34064885496183206,0.4715984147952444,0.21262458471760798,0.787375415282392,0.7,all_2
H1,0.683206106870229,0.42700381679389315,0.5255431591309454,0.21475083056478406,0.7852491694352159,0.7,all_2
H1,0.6778009742519137,0.46469465648854963,0.5513727710161336,0.2106312292358804,0.7893687707641196,0.7,all_2
H1,0.7732057416267942,0.38549618320610685,0.5144858325374084,0.2026578073089701,0.7973421926910299,0.7,all_2
