Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
Baseline,0.12138728323699421,0.12962962962962962,0.1253731343283582,0.5307971014492754,0.4692028985507246,0.20000000000000007,jabRef_2
Baseline,0.3496932515337423,0.35185185185185186,0.3507692307692308,0.3822463768115942,0.6177536231884058,0.20000000000000007,jabRef_2
Baseline,0.4420289855072464,0.5648148148148148,0.4959349593495935,0.33695652173913043,0.6630434782608696,0.20000000000000007,jabRef_2
Baseline,0.4489795918367347,0.6111111111111112,0.5176470588235293,0.3342391304347826,0.6657608695652174,0.20000000000000007,jabRef_2
Baseline,0.436241610738255,0.4012345679012346,0.4180064308681672,0.3278985507246377,0.6721014492753623,0.20000000000000007,jabRef_2
Baseline,0.5089108910891089,0.7932098765432098,0.6200241254523523,0.28532608695652173,0.7146739130434783,0.20000000000000007,jabRef_2
Baseline,0.3721518987341772,0.4537037037037037,0.4089012517385257,0.384963768115942,0.615036231884058,0.20000000000000007,jabRef_2
Baseline,0.29381443298969073,0.5277777777777778,0.3774834437086093,0.5108695652173914,0.48913043478260865,0.20000000000000007,jabRef_2
Baseline,0.3695090439276486,0.8827160493827161,0.5209471766848817,0.47644927536231885,0.5235507246376812,0.20000000000000007,jabRef_2
Baseline,0.37222222222222223,0.41358024691358025,0.391812865497076,0.37681159420289856,0.6231884057971014,0.20000000000000007,jabRef_2
