Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.3542234332425068,0.7558139534883721,0.4823747680890538,0.5072727272727273,0.4927272727272727,0.6,guava_2
H3,0.3985239852398524,0.627906976744186,0.4875846501128668,0.4127272727272727,0.5872727272727273,0.6,guava_2
H3,0.21808510638297873,0.23837209302325582,0.2277777777777778,0.5054545454545455,0.4945454545454545,0.6,guava_2
H3,0.4936708860759494,0.6802325581395349,0.5721271393643031,0.3181818181818182,0.6818181818181819,0.6,guava_2
H3,0.37216828478964403,0.6686046511627907,0.4781704781704782,0.45636363636363636,0.5436363636363637,0.6,guava_2
H3,0.38831615120274915,0.6569767441860465,0.4881209503239741,0.4309090909090909,0.5690909090909091,0.6,guava_2
H3,0.297029702970297,0.5232558139534884,0.37894736842105264,0.5363636363636364,0.4636363636363636,0.6,guava_2
H3,0.4,0.5813953488372093,0.47393364928909953,0.4036363636363636,0.5963636363636364,0.6,guava_2
H3,0.25688073394495414,0.32558139534883723,0.2871794871794872,0.5054545454545455,0.4945454545454545,0.6,guava_2
H3,0.40594059405940597,0.9534883720930233,0.5694444444444444,0.4509090909090909,0.5490909090909091,0.6,guava_2
