Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.584280303030303,0.744270205066345,0.6546419098143236,0.1896853146853147,0.8103146853146853,0.7,powertoys
H3,0.5852272727272727,0.7454764776839565,0.6557029177718832,0.1891025641025641,0.8108974358974359,0.7,powertoys
H3,0.6112311015118791,0.6827503015681544,0.6450142450142451,0.18152680652680653,0.8184731934731935,0.7,powertoys
H3,0.6322378716744914,0.4873341375150784,0.5504087193460491,0.19230769230769232,0.8076923076923077,0.7,powertoys
H3,0.5911282545805208,0.7394451145958987,0.6570203644158629,0.1864801864801865,0.8135198135198135,0.7,powertoys
H3,0.6623376623376623,0.49215922798552475,0.5647058823529412,0.18327505827505827,0.8167249417249417,0.7,powertoys
H3,0.6273525721455459,0.6031363088057901,0.6150061500615006,0.18240093240093241,0.8175990675990676,0.7,powertoys
H3,0.5852272727272727,0.7454764776839565,0.6557029177718832,0.1891025641025641,0.8108974358974359,0.7,powertoys
H3,0.6351706036745407,0.5838359469240049,0.6084223758642363,0.18152680652680653,0.8184731934731935,0.7,powertoys
H3,0.6260657734470159,0.6200241254523522,0.623030303030303,0.18123543123543123,0.8187645687645688,0.7,powertoys
