Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.8460431654676259,0.7250308261405672,0.7808764940239045,0.17780172413793102,0.822198275862069,0.7,rxjava_2
H3,0.8448275862068966,0.7250308261405672,0.7803583278035834,0.1783405172413793,0.8216594827586207,0.7,rxjava_2
H3,0.8667687595712098,0.6979038224414303,0.773224043715847,0.1788793103448276,0.8211206896551724,0.7,rxjava_2
H3,0.8575712143928036,0.7053020961775586,0.7740189445196212,0.17995689655172414,0.8200431034482758,0.7,rxjava_2
H3,0.8446043165467626,0.7237977805178791,0.7795484727755644,0.1788793103448276,0.8211206896551724,0.7,rxjava_2
H3,0.8366477272727273,0.7262638717632552,0.7775577557755776,0.18157327586206898,0.818426724137931,0.7,rxjava_2
H3,0.8856682769726248,0.6781750924784217,0.7681564245810056,0.1788793103448276,0.8211206896551724,0.7,rxjava_2
H3,0.9189655172413793,0.657213316892725,0.766355140186916,0.17510775862068967,0.8248922413793103,0.7,rxjava_2
H3,0.846820809248555,0.7225647348951911,0.7797737857618097,0.1783405172413793,0.8216594827586207,0.7,rxjava_2
H3,0.8463768115942029,0.720098643649815,0.7781479013990673,0.17941810344827586,0.8205818965517242,0.7,rxjava_2
