Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H3,0.5209222886421861,0.36614645858343337,0.43003172365174475,0.21346534653465346,0.7865346534653466,0.30000000000000004,all_2
H3,0.5722266560255387,0.43037214885954383,0.49126413155190135,0.19603960396039605,0.803960396039604,0.30000000000000004,all_2
H3,0.6357827476038339,0.35834333733493395,0.4583493282149712,0.18627062706270628,0.8137293729372937,0.30000000000000004,all_2
H3,0.5617214043035108,0.297719087635054,0.38917222440172616,0.20554455445544553,0.7944554455445545,0.30000000000000004,all_2
H3,0.5096824167312161,0.3949579831932773,0.44504565437943855,0.21663366336633663,0.7833663366336634,0.30000000000000004,all_2
H3,0.591044776119403,0.3565426170468187,0.4447772369898914,0.19577557755775576,0.8042244224422442,0.30000000000000004,all_2
H3,0.5499573014517506,0.3865546218487395,0.45400070497003875,0.20448844884488449,0.7955115511551155,0.30000000000000004,all_2
H3,0.6093023255813953,0.31452581032412963,0.4148851939825811,0.1951155115511551,0.8048844884488449,0.30000000000000004,all_2
H3,0.5887170154686078,0.38835534213685474,0.4679927667269439,0.19419141914191418,0.8058085808580858,0.30000000000000004,all_2
H3,0.6102021174205967,0.38055222088835533,0.4687615526802218,0.1897029702970297,0.8102970297029704,0.30000000000000004,all_2
