Hypothesis,Precision,Recall,Fmeasure_score,hamming_loss,Accuracy_Score,Train/Test_Size,Project
H1,0.34972677595628415,0.5765765765765766,0.43537414965986393,0.5824561403508772,0.4175438596491228,0.30000000000000004,jabRef_2
H1,0.49137931034482757,0.5135135135135135,0.5022026431718061,0.39649122807017545,0.6035087719298246,0.30000000000000004,jabRef_2
H1,0.46107784431137727,0.6936936936936937,0.5539568345323741,0.43508771929824563,0.5649122807017544,0.30000000000000004,jabRef_2
H1,0.38509316770186336,0.5585585585585585,0.45588235294117646,0.519298245614035,0.48070175438596496,0.30000000000000004,jabRef_2
H1,0.37423312883435583,0.5495495495495496,0.44525547445255476,0.5333333333333333,0.4666666666666667,0.30000000000000004,jabRef_2
H1,0.32075471698113206,0.3063063063063063,0.3133640552995392,0.5228070175438596,0.4771929824561404,0.30000000000000004,jabRef_2
H1,0.5252525252525253,0.46846846846846846,0.49523809523809526,0.3719298245614035,0.6280701754385964,0.30000000000000004,jabRef_2
H1,0.3862433862433862,0.6576576576576577,0.48666666666666675,0.5403508771929825,0.45964912280701753,0.30000000000000004,jabRef_2
H1,0.35,0.3783783783783784,0.36363636363636365,0.5157894736842106,0.4842105263157894,0.30000000000000004,jabRef_2
H1,0.4,0.45045045045045046,0.42372881355932207,0.47719298245614034,0.5228070175438597,0.30000000000000004,jabRef_2
